appearance_id,scored_flag
3598087_288233,6.424558761104092e-07
2577964_171424,0.9053007165186968
4676659_855731,0.4625416519479789
3201275_468198,0.7988959876062877
4103610_324804,0.5303197685371939
4103561_434433,7.963057489877709e-07
3081032_275303,7.199275365478497e-07
3844834_317806,0.878921639659272
3912544_111455,0.2194353749381167
4374212_602124,5.848159618041178e-07
3394590_315283,1.9839163018477479e-07
2578017_29594,0.9596548385523458
4373553_335631,0.5071445768866313
2604333_134883,0.4645879383869234
4646042_633850,0.3149389054609839
3588836_424051,1.9117060940734036e-06
3748484_336104,9.72089041885619e-07
4361517_272855,1.8656499524448186e-06
4645951_527966,7.161916333267316e-07
2382298_197157,0.170925769203754
3420976_167722,0.8750852652146786
4625799_346483,0.3947110027736244
3840425_297212,0.18758012113808994
3580223_68983,0.7115831285454619
4109487_468332,0.07760886346847792
2223997_74615,5.451208173390883e-07
2844517_405176,7.305287869739396e-07
4090231_68980,3.13831172181392e-06
3462163_289651,0.35466601867589576
2765895_213980,0.30661160162364903
4445429_401923,0.9793267222294435
2720887_442424,1.002478277655295e-06
2223966_126540,5.26169917241258e-07
2482157_127128,5.314186483108529e-07
2594741_69751,0.32507042325131824
2250169_38497,0.8804909864748866
3080321_331089,2.4021455248487776e-06
2899742_255501,7.311807924247751e-07
2818490_316125,0.24858074489913054
3252461_409344,1.2686878469527426e-06
4066664_289059,0.18024896439622454
2494505_46236,0.20439040405991193
2243876_33570,0.3557563856431575
4120938_334816,5.20124053594189e-07
3464289_51897,0.4230068827933204
4261022_197747,0.2944335002871166
2332196_28973,1.745319076213486e-06
3716663_85825,0.7102996767251804
3211832_238367,0.5916820531865283
4361270_557459,4.6996565199319946e-07
2872172_8806,0.5390858900416405
3602640_419845,0.7180670011799951
3840406_708678,0.09706852872594939
3840081_170934,7.555112064027015e-07
3889054_104977,0.5160375987122241
4112957_188888,5.570463052344717e-07
3451101_338425,0.7421988739851683
4393352_703720,6.382418580257214e-07
3412907_206542,0.9214241584301286
4367873_591880,8.096841220369548e-07
2247088_21327,0.0005355681212925889
4103549_417575,0.3463208042865585
4129621_278654,0.8735198987589445
3394608_392777,0.20773246570394271
3621548_267433,9.503760351949052e-07
3860251_181410,6.852988165099614e-07
2486587_234803,4.541144811252378e-07
4634363_957874,0.8732531169887069
2469548_92899,4.4239545487039673e-07
2557606_121137,1.7937367651559986e-06
4368780_451788,1.4648824127856327e-06
